table,attribute_name,variable_name,variable_definition
c authors,corresponding_author,TRUE,The author should be contacted with any further questions.
c authors,corresponding_author,FALSE,The author should not be contacted with any further questions.
e related publications,publication_type,article,Journal article.
e related publications,publication_type,book,Book.
e related publications,publication_type,mastersthesis,Master's Thesis.
e related publications,publication_type,misc,Miscellaneous publications such as online datasets.
e related publications,publication_type,phdthesis,PhD thesis or dissertation.
e related publications,publication_type,techreport,Technical report.
e related publications,publication_type,unpublished,Unpublished source.
f materials and methods,coring_method,gouge auger,"A half cylinder coring device in which the coring section is open, not sealed off by a fin."
f materials and methods,coring_method,hargas corer,"A large diameter (>10 cm) coring device consisting of a tube, piston, and a cutting head."
f materials and methods,coring_method,mcauley corer,A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point.
f materials and methods,coring_method,mccaffrey peat cutter,U-shaped blade that extracts a core by cutting down through peat.
f materials and methods,coring_method,none specified,No coring device was specified.
f materials and methods,coring_method,other shallow corer,Any other type of coring device typically taking cores shallower than 30 centimeters.
f materials and methods,coring_method,piston corer,A device that extrudes core into tube upward with a plunger.
f materials and methods,coring_method,push core,Any number of coring types involving driving a tube into the sediment to recover a core.
f materials and methods,coring_method,pvc and hammer,PVC pipe was driven into the sediment with a hammer to recover a core.
f materials and methods,coring_method,russian corer,A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point.
f materials and methods,coring_method,vibracore,"A technique involving collecting a core by sinking a continuous pipe into sediment attaching a source of vibration, then recovering using a winch and pulley."
f materials and methods,coring_method,surface sample,A technique involving collecting a core shallower than ~5 cm using a circular metal cutter.
f materials and methods,roots_flag,roots and rhizomes included,Roots and rhizomes were included in dry bulk density and or organic matter and carbon measurements.
f materials and methods,roots_flag,roots and rhizones separated,Roots and rhizomes were separated from soil before dry bulk density and or organic matter and carbon measurements.
f materials and methods,sediment_sieved_flag,sediment sieved,Sediment was sieved prior to analysis for organics.
f materials and methods,sediment_sieved_flag,sediment not sieved,Sediment was not sieved prior to analysis for organics.
f materials and methods,compaction_flag,compaction qualified,Compaction was at least qualified and noted by the authors.
f materials and methods,compaction_flag,compaction quantified,Compaction was quantified and corrected for in core based measurements.
f materials and methods,compaction_flag,corer limits compaction,Authors specified that the coring device's design minimized compaction.
f materials and methods,compaction_flag,no obvious compaction,Authors observed no obvious compaction.
f materials and methods,compaction_flag,not specified,Compaction was not specified.
f materials and methods,dry_bulk_density_flag,air dried to constant mass,Methodology specified that samples were air dried to a constant mass.
f materials and methods,dry_bulk_density_flag,modeled,"Bulk density was not measured, but was modeled from loss on ignition and assumptions about the particle densities of organic and inorganic matter."
f materials and methods,dry_bulk_density_flag,freeze dried,Bulk density was measured on freeze dried samples.
f materials and methods,dry_bulk_density_flag,no details,No additional details regarding bulk density methodology were provided.
f materials and methods,dry_bulk_density_flag,removed non structural water,"Bulk density methodology did not specify drying temperature or length, only that non-strucural water was removed."
f materials and methods,dry_bulk_density_flag,time approximate,Bulk density time recorded herin is an approximate estimate.
f materials and methods,dry_bulk_density_flag,time not specified,Bulk density time was not specified.
f materials and methods,dry_bulk_density_flag,to constant mass,"Bulk density methodology did not specify drying temperature or length, only that samples were dried to a constant mass."
f materials and methods,loss_on_ignition_flag,no details,No additional details regarding loss on ignition methodology were provided.
f materials and methods,loss_on_ignition_flag,time approximate,Loss on ignition time recorded herin is an approximate estimate.
f materials and methods,loss_on_ignition_flag,time not specified,No additional details regarding loss on ignition duration were provided.
f materials and methods,carbon_measured_or_modeled,measured,Fraction carbon was measured as opposed to modeled.
f materials and methods,carbon_measured_or_modeled,modeled,Fraction carbon was modeled as opposed to measured.
f materials and methods,carbonates_removed,FALSE,Carbonates were not removed before measuring organic carbon.
f materials and methods,carbonates_removed,TRUE,Carbonates were removed before measuring organic carbon.
f materials and methods,carbonate_removal_method,direct acid treatment,Carbonates were removed using direct application of dilute acid.
f materials and methods,carbonate_removal_method,acid fumigation,Carbonates were removed by fumigating with concentrated acid.
f materials and methods,carbonate_removal_method,low carbonate soil,Organic carbon fraction were measured without removing carbonates assuming carbonate content of the soil type was minimal. 
f materials and methods,carbonate_removal_method,carbonates not removed,Carbonates were not removed and low carbonate soil was not specified.
f materials and methods,carbonate_removal_method,none specified,Carbonate removal methodology was not specified.
f materials and methods,fraction_carbon_method,local regression,A regression model fit using a subset of measurements was used to predict fraction carbon as a funciton of fraction organic matter.
f materials and methods,fraction_carbon_method,Craft regression,"Used regression model from Craft et al., 1991, Estuaries, to predict fraction carbon as a funciton of fraction organic matter."
f materials and methods,fraction_carbon_method,Holmquist regression,"Used regression model from Holmquist et al., 2018, Scientific Reports, to predict fraction carbon as a funciton of fraction organic matter."
f materials and methods,fraction_carbon_method,EA,Each sample presented was measured using Elemantal Analysis.
f materials and methods,fraction_carbon_method,Fourqurean regression,"Used regression model from Fourqurean et al., 2012, Nature Geoscience, to predict fraction carbon as a funciton of fraction organic matter."
f materials and methods,fraction_carbon_method,wet oxidation,Each sample was measured using a wet oxidation method.
f materials and methods,fraction_carbon_method,kjeldahl digestion,Each sample was measured kjeldahl digestion method.
f materials and methods,fraction_carbon_method,no details,No additional detals were provided regarding fraction carbon methodologies.
f materials and methods,cs137_counting_method,alpha,Alpha counting method used.
f materials and methods,cs137_counting_method,gamma,Gamma counting method used.
f materials and methods,pb210_counting_method,alpha,Alpha counting method used.
f materials and methods,pb210_counting_method,gamma,Gamma counting method used.
f materials and methods,excess_pb210_rate,mass accumulation,Excess <sup>210</sup>Pb modeled using mass accumulation rate.
